City,Lat,Long
Washington DC,38.907192,-77.036871
New York,40.712775,-74.005973
Boston,42.360083,-71.05888
Philadelphia,39.952584,-75.165222
Chicago,41.878114,-87.629798
Los Angeles,34.052234,-118.243685
San Francisco,37.77493,-122.419416
Atlanta,33.748995,-84.387982
Dallas,32.776664,-96.796988
Houston,29.760427,-95.369803
Phoenix,33.448377,-112.074037
Miami,25.76168,-80.19179
Cleveland,41.49932,-81.694361
Denver,39.739236,-104.990251
Seattle,47.60621,-122.332071
Jacksonville,30.332184,-81.655651
Tennessee,35.517491,-86.580447
New Orleans,29.951066,-90.071532
Salt Lake City,40.760779,-111.891047
Las Vegas,36.169941,-115.13983
Cincinnati,39.103118,-84.51202
Indianapolis,39.768403,-86.158068
Austin,30.267153,-97.743061
