Rally order,City,State,Venue,Estimated Visitors,Lat,Long
1,Richmond,VA,Richmond Coliseum,5000,37.544645,-77.434359
2,Moon,PA,"Atlantic Aviation PIT, Pittsburgh International Airport",1500,40.497149,-80.222248
3,Tampa,FL,Tampa Convention Center,4000,27.941864,-82.456741
4,Greensboro,NC,Greensboro Coliseum Complex,6200,36.058682,-79.826131
5,Atlanta,GA,Fox Theatre,3500,33.772459,-84.385781
6,Dallas,TX,Gilley's Club,3600,32.768777,-96.797987
7,The Woodlands,TX,The Woodlands Waterway Marriott Hotel & Conference Center,5000,30.160721,-95.460399
8,Las Vegas,NV,"Mystère Theatre, Treasure Island Hotel and Casino",1600,36.12474,-115.172538
9,Phoenix,AZ,"Arizona Veterans Memorial Coliseum, Arizona State Fairgrounds",6000,33.469444,-112.096667
10,St. Clairsville,OH,"Health and Physical Education Center, Ohio University Eastern Campus",4000,40.073578,-80.975365
11,Bangor,ME,Cross Insurance Center,4000,44.788802,-68.77929
12,Raleigh,NC,"Raleigh Memorial Auditorium, Duke Energy Center for the Performing Arts",2300,35.771219,-78.639576
13,Cincinnati,OH,Sharonville Convention Center,7000,39.279265,-84.445024
14,Westfield,IN,"Grand Park Event Center, Grand Park",2000,40.062626,-86.150213
15,Winston-Salem,NC,"Winston-Salem Fairground Annex, Dixie Classic Fairgrounds",4700,36.124772,-80.25487
16,Scranton,PA,"Student Union Gymnasium, Lackawanna College",3500,41.410001,-75.656968
17,Toledo,OH,Huntington Center,8900,41.651085,-83.536696
18,Cedar Rapids,IA,DoubleTree Hotel Cedar Rapids Convention Complex,3000,41.979606,-91.668179
19,Davenport,IA,Adler Theatre,2400,41.52286,-90.573511
20,Colorado Springs,CO,"Gallogly Event Center, University of Colorado Colorado Springs",2500,38.892705,-104.79865
21,Denver,CO,Wings Over the Rockies Air and Space Museum,6000,39.720891,-104.895508
22,Columbus,OH,Greater Columbus Convention Center,1000,39.970315,-83.000813
23,Mechanicsburg,PA,Cumberland Valley High School,5000,40.239965,-77.061506
24,Ashburn,VA,Briar Woods High School,800,38.992491,-77.530972
25,Daytona Beach,FL,Ocean Center,10000,29.22841,-81.011154
26,Jacksonville,FL,Jacksonville Veterans Memorial Arena,10000,30.325811,-81.645058
27,Portland,ME,Merrill Auditorium,1600,43.659436,-70.257072
28,Des Moines,IA,Iowa Events Center,6000,41.591567,-93.622505
29,Green Bay,WI,KI Convention Center,3000,44.517772,-88.011412
30,Windham,NH,Windham High School,1500,42.795007,-71.322534
31,Fayetteville,NC,Crown Arena,3000,35.015014,-78.891834
32,Wilmington,NC,"Trask Coliseum, University of North Carolina at Wilmington",,34.224998,-77.878314
33,Sunrise,FL,BB&T Center,,26.158469,-80.325551
34,Kissimmee,FL,Silver Spurs Arena,8000,28.29894,-81.368987
35,Altoona,PA,Blair County Convention Center,5000,40.457553,-78.401057
36,Erie,PA,Erie Insurance Arena,8000,42.128001,-80.080889
